,A,M,V/I
1394,-415.0,-325.0,0.17005358473594495
1395,-415.0,-315.0,0.15214811097503905
1396,-415.0,-305.0,0.13744473416491704
1397,-415.0,-295.0,0.12514533407176992
1398,-415.0,-285.0,0.11469526578726412
1399,-415.0,-275.0,0.10569632988306737
1400,-415.0,-265.0,0.09785506159139487
1401,-415.0,-255.0,0.09095049086704729
1402,-415.0,-245.0,0.0848131992852384
1403,-415.0,-235.0,0.07931124407020097
1404,-415.0,-225.0,0.07434043197272563
1405,-415.0,-215.0,0.06981744770938986
1406,-415.0,-205.0,0.06567491280487447
1407,-415.0,-195.0,0.06185778402289714
1408,-415.0,-185.0,0.05832070340028639
1409,-415.0,-175.0,0.055026040390551506
1410,-415.0,-165.0,0.051942451497274174
1411,-415.0,-155.0,0.049043841705389224
1412,-415.0,-145.0,0.046308655844421696
1413,-415.0,-135.0,0.0437194639344705
1414,-415.0,-125.0,0.041262837485203326
1415,-415.0,-115.0,0.03892954571497331
1416,-415.0,-105.0,0.036715126424947515
1417,-415.0,-95.0,0.0346208789590146
1418,-415.0,-85.0,0.032655205046015615
1419,-415.0,-75.0,0.030834808172095888
1420,-415.0,-65.0,0.029184350014869655
1421,-415.0,-55.0,0.027732137321686473
1422,-415.0,-45.0,0.026500432654394883
1423,-415.0,-35.0,0.025494335022641618
1424,-415.0,-25.0,0.024697694138989066
1425,-415.0,-15.0,0.024079001693420622
1426,-415.0,-5.0,0.02360114648739138
1427,-415.0,5.0,0.023228608690506403
1428,-415.0,15.0,0.022930629632465904
1429,-415.0,25.0,0.022681787894230573
1430,-415.0,35.0,0.022461663395412675
1431,-415.0,45.0,0.022254635003640208
1432,-415.0,55.0,0.022050048766139946
1433,-415.0,65.0,0.02184217817256519
1434,-415.0,75.0,0.021629273449319482
1435,-415.0,85.0,0.02141191916054416
1436,-415.0,95.0,0.021191572440398813
1437,-415.0,105.0,0.02096973895183263
1438,-415.0,115.0,0.02074766907469901
1439,-415.0,125.0,0.020526313846019436
1440,-415.0,135.0,0.020306370233154895
1441,-415.0,145.0,0.02008834154746559
1442,-415.0,155.0,0.019872589274069395
1443,-415.0,165.0,0.01965937217918321
1444,-415.0,175.0,0.019448874451948248
1445,-415.0,185.0,0.019241225652018062
1446,-415.0,195.0,0.019036514847186454
1447,-415.0,205.0,0.01883480070585443
1448,-415.0,215.0,0.018636118780385638
1449,-405.0,-395.0,1.601331164685508
1450,-405.0,-385.0,0.7912435984014775
1451,-405.0,-375.0,0.5249037369558958
1452,-405.0,-365.0,0.39176357242965365
1453,-405.0,-355.0,0.3118567155097278
1454,-405.0,-345.0,0.2586123852041632
1455,-405.0,-335.0,0.2205568149233747
1456,-405.0,-325.0,0.19195195808151672
1457,-405.0,-315.0,0.1696310883206481
1458,-405.0,-305.0,0.1517076068427725
1459,-405.0,-295.0,0.13698516019496354
1460,-405.0,-285.0,0.12466555790549642
1461,-405.0,-275.0,0.11419408191735224
1462,-405.0,-265.0,0.10517245753123
1463,-405.0,-255.0,0.09730714381702171
1464,-405.0,-245.0,0.09037709552585828
1465,-405.0,-235.0,0.08421282270371747
1466,-405.0,-225.0,0.0786823186486025
1467,-405.0,-215.0,0.07368133942197319
1468,-405.0,-205.0,0.06912654033375279
1469,-405.0,-195.0,0.06495054626850316
1470,-405.0,-185.0,0.061098366549072435
1471,-405.0,-175.0,0.057524768607856776
1472,-405.0,-165.0,0.054192354384163866
1473,-405.0,-155.0,0.05107017004102009
1474,-405.0,-145.0,0.04813274129668995
1475,-405.0,-135.0,0.04535947460729485
1476,-405.0,-125.0,0.0427344058760706
1477,-405.0,-115.0,0.04024631672392481
1478,-405.0,-105.0,0.03788926878894511
1479,-405.0,-95.0,0.035663601155570136
1480,-405.0,-85.0,0.033577309297864066
1481,-405.0,-75.0,0.0316472866498839
1482,-405.0,-65.0,0.029898946923580756
1483,-405.0,-55.0,0.028361661602252113
1484,-405.0,-45.0,0.02705852250044667
1485,-405.0,-35.0,0.025994592255597238
1486,-405.0,-25.0,0.02515258009673536
1487,-405.0,-15.0,0.02449905291253835
1488,-405.0,-5.0,0.023994726881011917
1489,-405.0,5.0,0.02360205524992126
1490,-405.0,15.0,0.02328856651685553
1491,-405.0,25.0,0.02302746199620857
1492,-405.0,35.0,0.022797244318272795
1493,-405.0,45.0,0.0225814767744779
1494,-405.0,55.0,0.022368928019926525
1495,-405.0,65.0,0.02215350982970568
1496,-405.0,75.0,0.021933283241011854
1497,-405.0,85.0,0.02170875560859356
1498,-405.0,95.0,0.021481364529032612
1499,-405.0,105.0,0.021252619538303583
1500,-405.0,115.0,0.021023781563125267
1501,-405.0,125.0,0.02079581215075029
1502,-405.0,135.0,0.02056941658652045
1503,-405.0,145.0,0.020345103933316566
1504,-405.0,155.0,0.020123239091219363
1505,-405.0,165.0,0.019904082289535524
1506,-405.0,175.0,0.0196878176118767
