,A,B,M,N,V/I
131,-123.0,-121.0,-101.0,-99.0,-0.009373822913788327
132,-123.0,-121.0,-99.0,-97.0,-0.006599569063823196
133,-123.0,-121.0,-97.0,-95.0,-0.004704939616311757
134,-123.0,-121.0,-95.0,-93.0,-0.003391665861371518
135,-123.0,-121.0,-93.0,-91.0,-0.0024706029308619176
136,-123.0,-121.0,-91.0,-89.0,-0.001818247318372837
137,-123.0,-121.0,-89.0,-87.0,-0.00135217784449871
138,-123.0,-121.0,-87.0,-85.0,-0.0010164870585199146
139,-123.0,-121.0,-85.0,-83.0,-0.0007727807103339729
140,-123.0,-121.0,-83.0,-81.0,-0.0005944354602155644
141,-123.0,-121.0,-81.0,-79.0,-0.00046284384629358133
142,-123.0,-121.0,-79.0,-77.0,-0.00036491264491747555
143,-123.0,-121.0,-77.0,-75.0,-0.00029137269805819266
144,-123.0,-121.0,-75.0,-73.0,-0.00023562466483484368
145,-123.0,-121.0,-73.0,-71.0,-0.00019294408939062035
146,-123.0,-121.0,-71.0,-69.0,-0.00015993015655563214
147,-123.0,-121.0,-69.0,-67.0,-0.00013412119702836678
148,-123.0,-121.0,-67.0,-65.0,-0.0001137251141057026
149,-123.0,-121.0,-65.0,-63.0,-9.742948574040927e-05
150,-123.0,-121.0,-63.0,-61.0,-8.42671912235915e-05
151,-123.0,-121.0,-61.0,-59.0,-7.352091207204689e-05
152,-123.0,-121.0,-59.0,-57.0,-6.465496729327405e-05
153,-123.0,-121.0,-57.0,-55.0,-5.72664480224111e-05
154,-123.0,-121.0,-55.0,-53.0,-5.105003314226364e-05
155,-123.0,-121.0,-53.0,-51.0,-4.577254163148567e-05
156,-123.0,-121.0,-51.0,-49.0,-4.125444207412135e-05
157,-123.0,-121.0,-49.0,-47.0,-3.7356353218997995e-05
158,-123.0,-121.0,-47.0,-45.0,-3.396913974394039e-05
159,-123.0,-121.0,-45.0,-43.0,-3.1006608612042796e-05
160,-123.0,-121.0,-43.0,-41.0,-2.840009471841501e-05
161,-123.0,-121.0,-41.0,-39.0,-2.609442529390854e-05
162,-123.0,-121.0,-39.0,-37.0,-2.40448953323473e-05
163,-123.0,-121.0,-37.0,-35.0,-2.2214988285251813e-05
164,-123.0,-121.0,-35.0,-33.0,-2.057464944010129e-05
165,-123.0,-121.0,-33.0,-31.0,-1.9098972258324576e-05
166,-123.0,-121.0,-31.0,-29.0,-1.7767196619229708e-05
167,-123.0,-121.0,-29.0,-27.0,-1.656194704336561e-05
168,-123.0,-121.0,-27.0,-25.0,-1.5468662633862096e-05
169,-123.0,-121.0,-25.0,-23.0,-1.4475193484096704e-05
170,-123.0,-121.0,-23.0,-21.0,-1.3571568770201492e-05
171,-123.0,-121.0,-21.0,-19.0,-1.274999693775744e-05
172,-123.0,-121.0,-19.0,-17.0,-1.2005277957652383e-05
173,-123.0,-121.0,-17.0,-15.0,-1.1336079266371923e-05
174,-123.0,-121.0,-15.0,-13.0,-1.0748099658536292e-05
175,-123.0,-121.0,-13.0,-11.0,-1.0260909337379484e-05
176,-123.0,-121.0,-11.0,-9.0,-9.917816796708306e-06
177,-123.0,-121.0,-9.0,-7.0,-9.769765213477402e-06
178,-123.0,-121.0,-7.0,-5.0,-9.709325303600136e-06
179,-123.0,-121.0,-5.0,-3.0,-9.278010222317501e-06
180,-123.0,-121.0,-3.0,-1.0,-8.341533450341443e-06
181,-123.0,-121.0,-1.0,1.0,-7.317624183489357e-06
182,-123.0,-121.0,1.0,3.0,-6.470669687203001e-06
183,-121.0,-119.0,-117.0,-115.0,-2.7285645376192518
184,-121.0,-119.0,-115.0,-113.0,-0.6736538200041853
185,-121.0,-119.0,-113.0,-111.0,-0.27143400708167786
186,-121.0,-119.0,-111.0,-109.0,-0.13631659219260217
187,-121.0,-119.0,-109.0,-107.0,-0.07702636101357774
188,-121.0,-119.0,-107.0,-105.0,-0.046852632585554777
189,-121.0,-119.0,-105.0,-103.0,-0.029971559478292997
190,-121.0,-119.0,-103.0,-101.0,-0.01986913287002215
191,-121.0,-119.0,-101.0,-99.0,-0.013516399327974382
192,-121.0,-119.0,-99.0,-97.0,-0.009373730500423783
193,-121.0,-119.0,-97.0,-95.0,-0.006599507621440778
194,-121.0,-119.0,-95.0,-93.0,-0.004704900013689589
195,-121.0,-119.0,-93.0,-91.0,-0.003391641654891711
196,-121.0,-119.0,-91.0,-89.0,-0.0024705895607593092
197,-121.0,-119.0,-89.0,-87.0,-0.0018182415498226162
198,-121.0,-119.0,-87.0,-85.0,-0.0013521773775792695
199,-121.0,-119.0,-85.0,-83.0,-0.0010164902550767949
200,-121.0,-119.0,-83.0,-81.0,-0.0007727864020568367
201,-121.0,-119.0,-81.0,-79.0,-0.0005944428133334984
202,-121.0,-119.0,-79.0,-77.0,-0.0004628522658779305
203,-121.0,-119.0,-77.0,-75.0,-0.00036492170698589066
204,-121.0,-119.0,-75.0,-73.0,-0.0002913821012573703
205,-121.0,-119.0,-73.0,-71.0,-0.0002356341959566105
206,-121.0,-119.0,-71.0,-69.0,-0.00019295359869498513
207,-121.0,-119.0,-69.0,-67.0,-0.0001599395400689943
208,-121.0,-119.0,-67.0,-65.0,-0.00013413038382169978
209,-121.0,-119.0,-65.0,-63.0,-0.00011373405714243043
210,-121.0,-119.0,-63.0,-61.0,-9.743815529606598e-05
211,-121.0,-119.0,-61.0,-59.0,-8.427557017128343e-05
212,-121.0,-119.0,-59.0,-57.0,-7.352899253625436e-05
213,-121.0,-119.0,-57.0,-55.0,-6.466274832395494e-05
214,-121.0,-119.0,-55.0,-53.0,-5.7273934052127357e-05
215,-121.0,-119.0,-53.0,-51.0,-5.1057233072693275e-05
216,-121.0,-119.0,-51.0,-49.0,-4.5779468462466e-05
217,-121.0,-119.0,-49.0,-47.0,-4.126111304633348e-05
218,-121.0,-119.0,-47.0,-45.0,-3.73627904972397e-05
219,-121.0,-119.0,-45.0,-43.0,-3.397537172867421e-05
220,-121.0,-119.0,-43.0,-41.0,-3.10126720398686e-05
221,-121.0,-119.0,-41.0,-39.0,-2.8406037809663304e-05
222,-121.0,-119.0,-39.0,-37.0,-2.610031234180632e-05
223,-121.0,-119.0,-37.0,-35.0,-2.4050813334387106e-05
224,-121.0,-119.0,-35.0,-33.0,-2.222105654358167e-05
225,-121.0,-119.0,-33.0,-31.0,-2.0581033611872385e-05
226,-121.0,-119.0,-31.0,-29.0,-1.9105905347822916e-05
227,-121.0,-119.0,-29.0,-27.0,-1.777501139162488e-05
228,-121.0,-119.0,-27.0,-25.0,-1.6571128527279044e-05
229,-121.0,-119.0,-25.0,-23.0,-1.547993871269665e-05
