,A,B,M,V/I
170,-123.0,-121.0,-27.0,-0.0003621403070857565
171,-123.0,-121.0,-25.0,-0.0003466716444518944
172,-123.0,-121.0,-23.0,-0.0003321964509677977
173,-123.0,-121.0,-21.0,-0.0003186248821975962
174,-123.0,-121.0,-19.0,-0.0003058748852598388
175,-123.0,-121.0,-17.0,-0.0002938696073021864
176,-123.0,-121.0,-15.0,-0.00028253352803581447
177,-123.0,-121.0,-13.0,-0.0002717854283772782
178,-123.0,-121.0,-11.0,-0.0002615245190398987
179,-123.0,-121.0,-9.0,-0.0002516067022431904
180,-123.0,-121.0,-7.0,-0.00024183693702971298
181,-123.0,-121.0,-5.0,-0.00023212761172611285
182,-123.0,-121.0,-3.0,-0.00022284960150379535
183,-123.0,-121.0,-1.0,-0.0002145080680534539
184,-123.0,-121.0,1.0,-0.00020719044386996455
185,-123.0,-121.0,3.0,-0.00020071977418276155
186,-121.0,-119.0,-117.0,-4.032409864396204
187,-121.0,-119.0,-115.0,-1.3038453267769528
188,-121.0,-119.0,-113.0,-0.6301915067727673
189,-121.0,-119.0,-111.0,-0.3587574996910894
190,-121.0,-119.0,-109.0,-0.22244090749848722
191,-121.0,-119.0,-107.0,-0.14541454648490948
192,-121.0,-119.0,-105.0,-0.0985619138993547
193,-121.0,-119.0,-103.0,-0.0685903544210617
194,-121.0,-119.0,-101.0,-0.048721221551039556
195,-121.0,-119.0,-99.0,-0.035204822223065174
196,-121.0,-119.0,-97.0,-0.02583109172264139
197,-121.0,-119.0,-95.0,-0.019231584101200613
198,-121.0,-119.0,-93.0,-0.014526684087511024
199,-121.0,-119.0,-91.0,-0.011135042432619313
200,-121.0,-119.0,-89.0,-0.008664452871860004
201,-121.0,-119.0,-87.0,-0.006846211322037388
202,-121.0,-119.0,-85.0,-0.005494033944458118
203,-121.0,-119.0,-83.0,-0.004477543689381323
204,-121.0,-119.0,-81.0,-0.0037047572873244866
205,-121.0,-119.0,-79.0,-0.0031103144739909883
206,-121.0,-119.0,-77.0,-0.0026474622081130578
207,-121.0,-119.0,-75.0,-0.002282540501127167
