,A,M,N,V/I
209,-121.0,-73.0,-71.0,0.001766467865662702
210,-121.0,-71.0,-69.0,0.0015732587823275926
211,-121.0,-69.0,-67.0,0.0014130709891002138
212,-121.0,-67.0,-65.0,0.0012786994001885536
213,-121.0,-65.0,-63.0,0.0011647309697565382
214,-121.0,-63.0,-61.0,0.0010670650436739766
215,-121.0,-61.0,-59.0,0.0009825680791450825
216,-121.0,-59.0,-57.0,0.00090882386039879
217,-121.0,-57.0,-55.0,0.0008439518781098339
218,-121.0,-55.0,-53.0,0.0007864745751116828
219,-121.0,-53.0,-51.0,0.0007352197794530425
220,-121.0,-51.0,-49.0,0.0006892485904315335
221,-121.0,-49.0,-47.0,0.0006478017633994755
222,-121.0,-47.0,-45.0,0.000610259606183168
223,-121.0,-45.0,-43.0,0.0005761117972002891
224,-121.0,-43.0,-41.0,0.0005449345320287687
225,-121.0,-41.0,-39.0,0.000516373119503595
226,-121.0,-39.0,-37.0,0.0004901286634549328
227,-121.0,-37.0,-35.0,0.00046594784081638654
228,-121.0,-35.0,-33.0,0.00044361506353243416
229,-121.0,-33.0,-31.0,0.0004229465226462878
230,-121.0,-31.0,-29.0,0.00040378578564977813
231,-121.0,-29.0,-27.0,0.00038600078294327017
232,-121.0,-27.0,-25.0,0.0003694822232828826
233,-121.0,-25.0,-23.0,0.00035414381700438896
234,-121.0,-23.0,-21.0,0.00033992537916208154
235,-121.0,-21.0,-19.0,0.00032680145693581714
236,-121.0,-19.0,-17.0,0.00031480181740329086
237,-121.0,-17.0,-15.0,0.0003040586654967717
238,-121.0,-15.0,-13.0,0.0002949132005052174
239,-121.0,-13.0,-11.0,0.0002881356938047412
240,-121.0,-11.0,-9.0,0.00028522338062302727
241,-121.0,-9.0,-7.0,0.00028780536672885423
242,-121.0,-7.0,-5.0,0.00029220992927394066
243,-121.0,-5.0,-3.0,0.00028355205910271866
244,-121.0,-3.0,-1.0,0.0002577310687002631
245,-121.0,-1.0,1.0,0.00022842237051096982
246,-121.0,1.0,3.0,0.00020439189409717298
247,-121.0,3.0,5.0,0.00018765226869965623
248,-119.0,-117.0,-115.0,4.03241423779619
249,-119.0,-115.0,-113.0,1.3038536079146894
250,-119.0,-113.0,-111.0,0.6302024029934972
251,-119.0,-111.0,-109.0,0.3587701011202149
252,-119.0,-109.0,-107.0,0.22245457785903444
253,-119.0,-107.0,-105.0,0.14542884267522677
254,-119.0,-105.0,-103.0,0.09857652848988785
255,-119.0,-103.0,-101.0,0.06860507509499236
256,-119.0,-101.0,-99.0,0.0487359026565079
257,-119.0,-99.0,-97.0,0.03521936485120816
258,-119.0,-97.0,-95.0,0.025845429749275936
259,-119.0,-95.0,-93.0,0.019245674392475598
260,-119.0,-93.0,-91.0,0.014540499614523819
261,-119.0,-91.0,-89.0,0.011148567421739738
262,-119.0,-89.0,-87.0,0.008677679382905937
263,-119.0,-87.0,-85.0,0.006859136830461812
264,-119.0,-85.0,-83.0,0.005506659631321596
265,-119.0,-83.0,-81.0,0.004489873231530994
266,-119.0,-81.0,-79.0,0.003716796001922741
267,-119.0,-79.0,-77.0,0.0031220687146385484
268,-119.0,-77.0,-75.0,0.0026589389400006186
269,-119.0,-75.0,-73.0,0.0022937470038663366
270,-119.0,-73.0,-71.0,0.0020021020616193125
