,A,B,M,N,V/I
169,-39.0,-27.0,-35.0,-31.0,3.8681454407838736
170,-37.0,-25.0,-33.0,-29.0,3.8681925749702426
171,-35.0,-23.0,-31.0,-27.0,3.86828322840287
172,-33.0,-21.0,-29.0,-25.0,3.868459560312762
173,-31.0,-19.0,-27.0,-23.0,3.868806921827085
174,-29.0,-17.0,-25.0,-21.0,3.869501665135902
175,-27.0,-15.0,-23.0,-19.0,3.870918406433134
176,-25.0,-13.0,-21.0,-17.0,3.8738833204128147
177,-23.0,-11.0,-19.0,-15.0,3.8803020258417122
178,-21.0,-9.0,-17.0,-13.0,3.8947064414566714
179,-19.0,-7.0,-15.0,-11.0,3.9272736016787273
180,-17.0,-5.0,-13.0,-9.0,3.99418221054684
181,-15.0,-3.0,-11.0,-7.0,4.097151655988853
182,-13.0,-1.0,-9.0,-5.0,4.18051795833598
183,-11.0,1.0,-7.0,-3.0,4.156176187927065
184,-9.0,3.0,-5.0,-1.0,4.047968886096379
185,-7.0,5.0,-3.0,1.0,3.9772996709773696
186,-5.0,7.0,-1.0,3.0,3.9908241651241747
187,-3.0,9.0,1.0,5.0,4.033755014161397
188,-1.0,11.0,3.0,7.0,4.055512100636472
189,1.0,13.0,5.0,9.0,4.0455121443750155
190,3.0,15.0,7.0,11.0,4.011737272794743
191,5.0,17.0,9.0,13.0,3.9694588635694794
192,7.0,19.0,11.0,15.0,3.9320697440246803
193,9.0,21.0,13.0,17.0,3.9053556413249995
194,11.0,23.0,15.0,19.0,3.8887327046549247
195,13.0,25.0,17.0,21.0,3.8792258854814037
196,15.0,27.0,19.0,23.0,3.874036391458545
197,17.0,29.0,21.0,25.0,3.8712654445231562
198,19.0,31.0,23.0,27.0,3.8697963896420084
199,21.0,33.0,25.0,29.0,3.8690162675483353
200,23.0,35.0,27.0,31.0,3.8685992049310647
201,25.0,37.0,29.0,33.0,3.8683740721441877
202,27.0,39.0,31.0,35.0,3.8682511405749542
203,29.0,41.0,33.0,37.0,3.868183156142642
204,31.0,43.0,35.0,39.0,3.868145041535756
205,33.0,45.0,37.0,41.0,3.868123360797405
206,35.0,47.0,39.0,43.0,3.8681108379786564
207,37.0,49.0,41.0,45.0,3.8681034877003704
208,39.0,51.0,43.0,47.0,3.868099100625
209,41.0,53.0,45.0,49.0,3.868096436541831
210,43.0,55.0,47.0,51.0,3.868094790116164
211,45.0,57.0,49.0,53.0,3.868093754727243
212,47.0,59.0,51.0,55.0,3.8680930926337105
213,49.0,61.0,53.0,57.0,3.8680926627920758
214,51.0,63.0,55.0,59.0,3.868092380262071
215,53.0,65.0,57.0,61.0,3.868092193103143
216,55.0,67.0,59.0,63.0,3.8680920690631373
217,57.0,69.0,61.0,65.0,3.868091987811176
218,59.0,71.0,63.0,67.0,3.868091936346235
219,61.0,73.0,65.0,69.0,3.8680919062467396
220,63.0,75.0,67.0,71.0,3.8680918920006775
221,65.0,77.0,69.0,73.0,3.8680918899780696
222,67.0,79.0,71.0,75.0,3.868091897790228
223,69.0,81.0,73.0,77.0,3.8680919138849896
224,71.0,83.0,75.0,79.0,3.8680919372875495
225,73.0,85.0,77.0,81.0,3.8680919674319414
226,75.0,87.0,79.0,83.0,3.8680920040485125
227,77.0,89.0,81.0,85.0,3.8680920470845086
228,79.0,91.0,83.0,87.0,3.8680920966403685
229,81.0,93.0,85.0,89.0,3.8680921529052945
230,83.0,95.0,87.0,91.0,3.8680922160712896
231,85.0,97.0,89.0,93.0,3.8680922861928995
232,87.0,99.0,91.0,95.0,3.868092362934566
233,89.0,101.0,93.0,97.0,3.868092445096684
234,91.0,103.0,95.0,99.0,3.868092529711266
235,93.0,105.0,97.0,101.0,3.868092610299064
236,95.0,107.0,99.0,103.0,3.8680926734826024
237,97.0,109.0,101.0,105.0,3.8680926923497703
238,99.0,111.0,103.0,107.0,3.8680926133452673
239,101.0,113.0,105.0,109.0,3.868092330194135
240,103.0,115.0,107.0,111.0,3.8680916317845364
241,105.0,117.0,109.0,113.0,3.868090097991405
242,107.0,119.0,111.0,115.0,3.8680868930472396
243,109.0,121.0,113.0,117.0,3.8680803639322847
244,111.0,123.0,115.0,119.0,3.8680672882996863
