# Declination : 7.79138 Degrees
# Inclination : 65.97 Degrees
# Total Field : 51_345.6 nT
Easting (m),Northing (m),Elevation (m),Total Magnetic Anomaly (nT),Standard Deviation (nT)
-1100.0,-600.0,100.0,-8.160826994393812,5.0
-1100.0,-500.0,100.0,-10.221157658804536,5.0
-1100.0,-400.0,100.0,-10.829146406143101,5.0
-1100.0,-300.0,100.0,-5.602439197869427,5.0
-1100.0,-200.0,100.0,-14.470705579498784,5.0
-1100.0,-100.0,100.0,-14.158128681703598,5.0
-1100.0,0.0,100.0,-13.009597879229407,5.0
-1100.0,100.0,100.0,-26.745734257678635,5.0
-1100.0,200.0,100.0,-37.83049320052933,5.0
-1100.0,300.0,100.0,-44.88308567712484,5.0
-1100.0,400.0,100.0,-63.4571641397882,5.0
-1100.0,500.0,100.0,-65.61927359573176,5.0
-1100.0,600.0,100.0,-74.17389610397734,5.0
-1100.0,700.0,100.0,-81.02662751912176,5.0
-1100.0,800.0,100.0,-79.78723403256085,5.0
-1100.0,900.0,100.0,-62.900206827116186,5.0
-1100.0,1000.0,100.0,-59.93402894783638,5.0
-1100.0,1100.0,100.0,-44.93704659296043,5.0
-1100.0,1200.0,100.0,-35.35598010633025,5.0
-1100.0,1300.0,100.0,-34.258197666223055,5.0
-1100.0,1400.0,100.0,-23.163704306842085,5.0
-1100.0,1500.0,100.0,-22.42592205342977,5.0
-1000.0,-1500.0,100.0,0.02541873757774349,5.0
-1000.0,-1400.0,100.0,5.209412644784354,5.0
-1000.0,-1300.0,100.0,0.4135366504244411,5.0
-1000.0,-1200.0,100.0,2.731478025439695,5.0
-1000.0,-1100.0,100.0,-14.192967530076066,5.0
-1000.0,-1000.0,100.0,1.2483152715110553,5.0
-1000.0,-900.0,100.0,-3.283371335625689,5.0
-1000.0,-800.0,100.0,-3.5335636992241106,5.0
-1000.0,-700.0,100.0,-1.2168197222653272,5.0
-1000.0,-600.0,100.0,-4.143574125720293,5.0
-1000.0,-500.0,100.0,2.9901491865253558,5.0
-1000.0,-400.0,100.0,-2.932007371033854,5.0
-1000.0,-300.0,100.0,-9.904467245849558,5.0
-1000.0,-200.0,100.0,-2.442610696144056,5.0
-1000.0,-100.0,100.0,-10.273112324467874,5.0
-1000.0,0.0,100.0,-4.220882913788085,5.0
-1000.0,100.0,100.0,-12.34135211292974,5.0
-1000.0,200.0,100.0,-21.43141258183049,5.0
-1000.0,300.0,100.0,-35.076334739955534,5.0
-1000.0,400.0,100.0,-53.33112794728172,5.0
-1000.0,500.0,100.0,-67.31433547074758,5.0
-1000.0,600.0,100.0,-92.21963895649127,5.0
-1000.0,700.0,100.0,-110.07405768072681,5.0
-1000.0,800.0,100.0,-99.46686134960677,5.0
-1000.0,900.0,100.0,-88.15134260466287,5.0
-1000.0,1000.0,100.0,-69.7528768415807,5.0
-1000.0,1100.0,100.0,-56.785820381377654,5.0
-1000.0,1200.0,100.0,-44.47209321773066,5.0
-1000.0,1300.0,100.0,-32.37831552793352,5.0
-1000.0,1400.0,100.0,-28.259200332648128,5.0
-1000.0,1500.0,100.0,-21.19434874049951,5.0
-900.0,-1500.0,100.0,-6.10844987113979,5.0
-900.0,-1400.0,100.0,1.660198396885133,5.0
-900.0,-1300.0,100.0,-6.615472612491474,5.0
-900.0,-1200.0,100.0,-13.285017343124643,5.0
-900.0,-1100.0,100.0,1.375564123195646,5.0
-900.0,-1000.0,100.0,1.408675420363862,5.0
-900.0,-900.0,100.0,-5.379857847799224,5.0
-900.0,-800.0,100.0,4.560428353486518,5.0
-900.0,-700.0,100.0,-4.320747052158742,5.0
-900.0,-600.0,100.0,7.949004281838672,5.0
-900.0,-500.0,100.0,-2.7275809188914346,5.0
-900.0,-400.0,100.0,2.6819402905459113,5.0
-900.0,-300.0,100.0,5.010814231920594,5.0
-900.0,-200.0,100.0,-5.308945703476157,5.0
